120,2000,3600,23.0,1.15,apr12
150,2075,3625,23.5,1.25,
175,2075,3650,23.5,1.34,
200,2100,3675,23.5,1.42,
225,2300,3800,23.5,1.50,
250,2550,3900,23.5,1.59,
275,2800,3950,23.5,1.64,
300,3000,4000,23.5,1.76,
350,3250,4250,23.5,1.93,
450,4000,4397,23.5,2.27,
550,4500,4654,23.6,2.61,
650,5000,4911,23.6,2.95,
750,5500,5168,23.7,3.28,
850,6000,5425,23.7,3.62,
950,6500,5682,23.7,3.96,
